group,names,scores,logfoldchanges,pvals,pvals_adj
4,ENSG00000119508,-7.641685,-2.6556826,2.143972928464011e-14,1.285740886635089e-13
4,ENSG00000173918,-7.6533194,-3.1668727,1.9585635825601624e-14,1.1763144640000974e-13
4,ENSG00000159200,-7.677093,-0.9479838,1.627394187635e-14,9.788837218857142e-14
4,ENSG00000164548,-7.714682,-0.5420342,1.2128412533504382e-14,7.306272610544808e-14
4,ENSG00000164190,-7.7304482,-0.81410766,1.0716846876150588e-14,6.465669306878182e-14
4,ENSG00000170248,-7.741276,-0.61211026,9.842403558139265e-15,5.947071636337924e-14
4,ENSG00000164022,-7.748054,-0.42180586,9.331157147946095e-15,5.646691163658756e-14
4,ENSG00000096092,-7.762659,-0.6231293,8.31670536265828e-15,5.040427492520169e-14
4,ENSG00000178878,-7.809162,-3.1755812,5.756939801443507e-15,3.494348893137181e-14
4,ENSG00000068078,-7.8112082,-0.82095295,5.664234129457553e-15,3.4433034221626465e-14
4,ENSG00000125968,-7.8159876,-0.32724917,5.4533778615636066e-15,3.320169169901739e-14
4,ENSG00000108106,-7.8341107,-0.45292655,4.721718029384122e-15,2.8790963593805624e-14
4,ENSG00000107771,-7.8350167,-0.82849526,4.687795971619352e-15,2.862776165874413e-14
4,ENSG00000120697,-7.843305,-0.55067015,4.388399385480015e-15,2.6840363213945044e-14
4,ENSG00000086544,-7.876487,-1.3150481,3.3671501291786576e-15,2.062572820323833e-14
4,ENSG00000166592,-7.8847294,-3.2121487,3.1521733357644254e-15,1.9338486722481135e-14
4,ENSG00000182372,-7.8867383,-0.9569891,3.101874645037828e-15,1.9059137603919064e-14
4,ENSG00000196504,-7.888117,-0.24294846,3.0678065171702955e-15,1.8878809336432585e-14
4,ENSG00000169217,-7.909275,-0.6528584,2.5889201671071806e-15,1.5956364666300033e-14
4,ENSG00000115468,-7.9287434,-3.7906637,2.2137490110488177e-15,1.3665117352153195e-14
4,ENSG00000105664,-7.939106,-2.2120714,2.036435593429106e-15,1.2590019124754906e-14
4,ENSG00000164442,-7.942479,-0.32912874,1.9818003570539488e-15,1.229023477242759e-14
4,ENSG00000121898,-7.9465485,-6.0135818,1.917801632447575e-15,1.1911811381661955e-14
4,ENSG00000106066,-7.953028,-5.0886564,1.820070668950737e-15,1.132236808056446e-14
4,ENSG00000107175,-7.9591923,-0.8606605,1.731659139641354e-15,1.0789153518014666e-14
4,ENSG00000134853,-7.9603662,-5.5777617,1.7153053114261411e-15,1.0703933300631145e-14
4,ENSG00000009954,-7.964903,-1.076945,1.65353297465133e-15,1.0334581091570812e-14
4,ENSG00000175582,-7.993387,-0.5520889,1.3128098192369837e-15,8.217901841859053e-15
4,ENSG00000122861,-8.018358,-0.7571269,1.0716814549663841e-15,6.729553877339932e-15
4,ENSG00000099282,-8.0310955,-3.992337,9.660575149647681e-16,6.075833427451372e-15
4,ENSG00000050393,-8.056714,-0.5485711,7.83727705014796e-16,4.9368674331640696e-15
4,ENSG00000204842,-8.109943,-1.2020497,5.064326197041541e-16,3.1951584839378807e-15
4,ENSG00000055609,-8.114445,-0.9261744,4.880121547300151e-16,3.08380508518177e-15
4,ENSG00000125845,-8.123869,-1.1746882,4.515541003176752e-16,2.8579373437827546e-15
4,ENSG00000178381,-8.129627,-0.6979831,4.306134815477339e-16,2.7297209606829405e-15
4,ENSG00000198502,-8.132211,-3.6991343,4.215314320353039e-16,2.676390044668596e-15
4,ENSG00000140285,-8.144243,-0.91800445,3.8166269972418813e-16,2.4309726097082047e-15
4,ENSG00000121060,-8.151755,-1.6711677,3.5867958861473833e-16,2.288227040604391e-15
4,ENSG00000076053,-8.173147,-0.39770365,3.004480813200087e-16,1.9197960467732186e-15
4,ENSG00000162444,-8.178033,-2.1897254,2.8851572595264522e-16,1.8465006460969294e-15
4,ENSG00000114861,-8.196809,-0.7395197,2.468520246713948e-16,1.582384773534582e-15
4,ENSG00000151789,-8.197746,-2.9141605,2.449353708691675e-16,1.572618753574109e-15
4,ENSG00000124491,-8.215006,-5.529542,2.1215382652243075e-16,1.3643332895333168e-15
4,ENSG00000133392,-8.217099,-2.6086988,2.0848497069634954e-16,1.342898361973266e-15
4,ENSG00000163536,-8.238129,-2.6496465,1.7492544667179751e-16,1.1285512688503066e-15
4,ENSG00000141338,-8.290066,-4.5553308,1.1318588744410627e-16,7.325947407385519e-16
4,ENSG00000163638,-8.324633,-3.7431636,8.45909965643245e-17,5.484019226212285e-16
4,ENSG00000135930,-8.340789,-0.58114356,7.379636859257447e-17,4.79197198653081e-16
4,ENSG00000066379,-8.344375,-0.47381216,7.159170553185612e-17,4.656371091502837e-16
4,ENSG00000175166,-8.350872,-0.37914592,6.776088174326128e-17,4.4143896901147413e-16
4,ENSG00000125810,-8.363496,-5.177211,6.088669995049123e-17,3.9730309918754476e-16
4,ENSG00000188290,-8.36533,-0.9883887,5.994705398350458e-17,3.918108103497032e-16
4,ENSG00000164687,-8.374845,-0.28859967,5.5296880278099934e-17,3.6200903619050694e-16
4,ENSG00000176788,-8.384092,-1.2286118,5.111885761988979e-17,3.3520562373698224e-16
4,ENSG00000138835,-8.403404,-2.577109,4.337187748479277e-17,2.8487275852080635e-16
4,ENSG00000052795,-8.419485,-2.3505247,3.781412281875005e-17,2.4877712380756614e-16
4,ENSG00000167123,-8.444762,-3.0514872,3.046644988382315e-17,2.0076737979455124e-16
4,ENSG00000101856,-8.457188,-0.18715453,2.739032199281243e-17,1.810930379690078e-16
4,ENSG00000108055,-8.477092,-0.4331173,2.3089316621939168e-17,1.5290938160224616e-16
4,ENSG00000163132,-8.481908,-4.303532,2.2153064892290254e-17,1.4695233759396522e-16
4,ENSG00000150594,-8.485112,-4.4263415,2.1551082503676655e-17,1.4319656148622363e-16
4,ENSG00000172716,-8.522965,-4.7560205,1.5551978310888456e-17,1.0367985540592304e-16
4,ENSG00000121749,-8.535183,-0.7724694,1.3993333441749613e-17,9.34446306627687e-17
4,ENSG00000113594,-8.54418,-2.4377646,1.2945246967849633e-17,8.659028072140223e-17
4,ENSG00000156298,-8.547759,-2.814974,1.2550104580304462e-17,8.408780288311198e-17
4,ENSG00000128989,-8.555213,-0.4606857,1.1765109534358824e-17,7.896046667354916e-17
4,ENSG00000140367,-8.555881,-0.71788013,1.1697232626444428e-17,7.863685799290372e-17
4,ENSG00000028137,-8.591818,-4.493738,8.560417102081189e-18,5.774311704607884e-17
4,ENSG00000129128,-8.6077585,-0.9221265,7.4503046315539e-18,5.0339896159147976e-17
4,ENSG00000161677,-8.612937,-0.7207585,7.121250851409155e-18,4.8197975305645723e-17
4,ENSG00000156256,-8.620812,-0.45777035,6.648095069315065e-18,4.507183097840722e-17
4,ENSG00000154473,-8.621617,-0.28769487,6.6015255465131616e-18,4.48320919966938e-17
4,ENSG00000148541,-8.633724,-3.372176,5.938631100910098e-18,4.039885102659931e-17
4,ENSG00000164405,-8.637176,-0.20044944,5.761965933846694e-18,3.9263822377149537e-17
4,ENSG00000153902,-8.648177,-5.1731234,5.232837100711921e-18,3.571902457823837e-17
4,ENSG00000146425,-8.6509495,-0.31561476,5.107261661216686e-18,3.492144725618247e-17
4,ENSG00000204619,-8.663826,-0.706377,4.5619112159897126e-18,3.1245967232806255e-17
4,ENSG00000149187,-8.6782255,-0.8097709,4.019924136438663e-18,2.758095462393594e-17
