ensembl_id_stripped	gene_symbol	source_map	present_in_hvg	present_in_raw	duplicated_symbol_in_raw	notes
ENSG00000278464	AC068506.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000263718	AC068594.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254443	AC068733.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000179428	AC073072.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000237126	AC073254.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272967	AC073352.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277463	AC080038.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272293	AC083964.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253220	AC084116.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000262003	AC087392.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000258115	AC090109.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253227	AC090192.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000251127	AC091173.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000250186	AC091180.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273219	AC091736.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253766	AC091946.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000275765	AC091982.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261118	AC092123.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000268184	AC092364.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277954	AC092376.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000237101	AC092809.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000283286	AC093277.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000255021	AC093496.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272619	AC093673.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000220256	AC093802.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249604	AC096564.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249463	AC096711.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277855	AC097634.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000260278	AC098818.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261218	AC099524.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000267042	AC100793.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000250714	AC100861.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273338	AC103591.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261449	AC103724.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254251	AC103770.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000230709	AC104024.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000255462	AC104031.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259251	AC104590.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000264125	AC104984.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000248896	AC105001.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000229498	AC105053.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000267038	AC105094.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000274215	AC106028.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000250421	AC106798.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259959	AC107068.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000284948	AC107959.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000259283	AC109462.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253163	AC109479.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261158	AC109597.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000227279	AC110015.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257207	AC112229.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000251616	AC113410.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000236665	AC114808.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000249743	AC116345.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272347	AC116351.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000214708	AC116407.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000274956	AC120042.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000253535	AC120193.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000276121	AC122108.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254813	AC123777.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000254991	AC124276.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000277738	AC126175.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000265246	AC129926.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273445	AC133644.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261693	AC134682.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000226434	AC135371.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256982	AC135782.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000273211	AC137630.4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000256092	AC137767.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000257322	AC138123.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000278467	AC138393.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000226490	AC138647.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000247679	AC139795.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000261227	AC140912.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000283766	AC141930.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000272843	AC211476.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000233030	AC243772.2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000268734	AC245128.3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000232527	AC245595.1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000167315	ACAA2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000151498	ACAD8	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000117054	ACADM	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000157766	ACAN	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000120437	ACAT2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000159640	ACE	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000167769	ACER1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000087085	ACHE	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000213088	ACKR1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000144476	ACKR3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000129048	ACKR4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000102794	ACOD1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000184227	ACOT1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000168306	ACOX2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000102575	ACP5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000183760	ACP7	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000103740	ACSBG1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000151726	ACSL1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000166743	ACSM1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000183747	ACSM2A	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000005187	ACSM3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000173124	ACSM6	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000143632	ACTA1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000107796	ACTA2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000169067	ACTBL2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000159251	ACTC1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000163017	ACTG2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000077522	ACTN2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000133627	ACTR3B	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000139567	ACVRL1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000148848	ADAM12	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000143537	ADAM15	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000135074	ADAM19	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000151651	ADAM8	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000134028	ADAMDEC1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000154734	ADAMTS1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000151388	ADAMTS12	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000140873	ADAMTS18	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000087116	ADAMTS2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000158859	ADAMTS4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000154736	ADAMTS5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000049192	ADAMTS6	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000163638	ADAMTS9	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000129467	ADCY4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000141433	ADCYAP1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000174837	ADGRE1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000127507	ADGRE2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000164393	ADGRF2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000153294	ADGRF4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000069122	ADGRF5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000205336	ADGRG1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000150471	ADGRL3	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000162618	ADGRL4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000164199	ADGRV1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000196616	ADH1B	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000248144	ADH1C	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000198099	ADH4	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000196344	ADH7	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000181092	ADIPOQ	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000148671	ADIRF	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000148926	ADM	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000128165	ADM2	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000224420	ADM5	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000163485	ADORA1	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000150594	ADRA2A	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000184160	ADRA2C	10x_features / GTF	True	True	False	from raw.gene_symbol
ENSG00000169252	ADRB2	10x_features / GTF	True	True	False	from raw.gene_symbol
