Gene_set,term,Overlap,P-value,Adjusted_P_value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library,tag
Drug_Perturbations_from_GEO_down,ARSENIC 5359596 human GSE6907 sample 3529,2/206,0.5848548691110982,0.7441272053551162,0,0,1.0224238631622862,0.5484195202263342,AZGP1;NEDD9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,ubiquinol 9962735 human GSE21351 sample 3448,3/319,0.5865276207675673,0.7446004236780419,0,0,0.9896771136532864,0.5280278912528347,LDHB;ALDH1A1;VIM,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE2889 sample 3608,4/431,0.5880314511701238,0.7446004236780419,0,0,0.9762030671602326,0.5183392714240453,LDHB;RGCC;LGALS1;TNC,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,SODIUM ARSENITE 443495 mouse GSE11056 sample 3361,3/320,0.5886541899503047,0.7446004236780419,0,0,0.9865044956898732,0.5227648927741642,AZGP1;ALDH1B1;PLP1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE52711 sample 3120,3/320,0.5886541899503047,0.7446004236780419,0,0,0.9865044956898732,0.5227648927741642,HADH;RAMP1;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,methotrexate DB00563 human GSE41831 sample 2601,3/321,0.590773799964848,0.746195395595135,0,0,0.9833518312985572,0.5175597773035535,EGR2;FGFBP2;SERPINB9,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol 5757 mouse GSE2889 sample 3609,4/433,0.5916952959845685,0.7462746185930189,0,0,0.971551745745294,0.5098348744482036,RGCC;RAP1A;CSRP1;DYNLRB1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,actinomycin D 2019 human GSE6400 sample 3098,3/323,0.5949920644862493,0.7476222070885273,0,0,0.977105614973262,0.5073202807369661,PDE4D;NEDD9;SOX4,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,PLX4032 DB05238 human GSE50649 sample 2558,3/323,0.5949920644862493,0.7476222070885273,0,0,0.977105614973262,0.5073202807369661,PLN;TNFAIP6;LPL,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,4-Hydroxynonenal 5283344 human GSE2397 sample 3079,2/210,0.5953447264732576,0.7476222070885273,0,0,1.0025572831423897,0.5199409135342218,LDHB;S100A6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,genistein 5280961 mouse GSE2889 sample 3604,4/437,0.5989658645347617,0.7496425328868116,0,0,0.9623780078968934,0.4932674926557739,LDHB;RGCC;LGALS1;RAP1A,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,estradiol DB00783 human GSE1153 sample 2734,2/212,0.6005152918648046,0.7496425328868116,0,0,0.9929078014184396,0.5063503841080931,MYL9;MT3,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,MEK inhibitor (MEKi -AZD6244) 10127622 human GSE55624 sample 3251,3/326,0.601266795652598,0.7496425328868116,0,0,0.9678813264681048,0.4923772234597885,ANXA6;ITGA6;CTNNAL1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,Monuron 8800 rat GSE51163 sample 2467,3/326,0.601266795652598,0.7496425328868116,0,0,0.9678813264681048,0.4923772234597885,LGALS1;SCRN1;LPL,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,"2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3351",3/326,0.601266795652598,0.7496425328868116,0,0,0.9678813264681048,0.4923772234597885,PGRMC1;PEG10;ALDH1A1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,ARC (NSC 188491) 302576 human GSE13477 sample 2503,3/329,0.6074779167326768,0.7556135754098823,0,0,0.9588268101440242,0.4779171131530588,LGALS1;SEMA3C;ANXA6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,imatinib (glivec) 123596 human GSE12211 sample 2518,4/442,0.607945565024522,0.7556135754098823,0,0,0.9511464624146904,0.4733569954943336,LDHB;LGALS1;S100A6;DSTN,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,vancomycin DB14969 mouse GSE7793 sample 3400,3/330,0.6095340809693067,0.7556135754098823,0,0,0.9558455575724868,0.4732012987418758,LPL;MYH11;DYNLRB1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,sangivamycin (NSC 65346) 14978 human GSE13477 sample 2504,3/330,0.6095340809693067,0.7556135754098823,0,0,0.9558455575724868,0.4732012987418758,LGALS1;SEMA3C;ANXA6,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,tamoxifen DB00675 human GSE28645 sample 2822,3/332,0.6136250075657931,0.7596013270294504,0,0,0.9499374217772216,0.4639221491541389,NR4A2;TGFB2;LGALS1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385,3/333,0.6156597427091465,0.7610360119690587,0,0,0.9470102090422946,0.4593575616063354,LPIN1;FILIP1L;AURKB,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
Drug_Perturbations_from_GEO_down,rosiglitazone DB00412 human GSE5679 sample 2809,3/335,0.6197076928171771,0.764951683321203,0,0,0.9412086850074092,0.4503752974864077,LGALS1;ANXA6;GYG1,Drug_Perturbations_from_GEO_down,Myofibroblasts_UP→DOWNmatch
